 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,0.004,255,255,255,1.077,255
2,MaxProject,0.017,255,255,255,4.310,1020
3,MaxProject,0.004,255,255,255,1.077,255
4,MaxProject,0.004,255,255,255,1.077,255
5,MaxProject,0.013,255,255,255,3.232,765
6,MaxProject,0.008,255,255,255,2.155,510
7,MaxProject,0.004,255,255,255,1.077,255
8,MaxProject,0.013,255,255,255,3.232,765
9,MaxProject,0.017,255,255,255,4.310,1020
10,MaxProject,0.008,255,255,255,2.155,510
11,MaxProject,0.008,255,255,255,2.155,510
12,MaxProject,0.013,255,255,255,3.232,765
13,MaxProject,0.017,255,255,255,4.310,1020
14,MaxProject,0.017,255,255,255,4.310,1020
15,MaxProject,0.021,255,255,255,5.387,1275
16,MaxProject,0.021,255,255,255,5.387,1275
17,MaxProject,0.008,255,255,255,2.155,510
18,MaxProject,0.008,255,255,255,2.155,510
19,MaxProject,0.008,255,255,255,2.155,510
20,MaxProject,0.004,255,255,255,1.077,255
21,MaxProject,0.072,255,255,255,18.315,4335
22,MaxProject,0.017,255,255,255,4.310,1020
23,MaxProject,0.013,255,255,255,3.232,765
24,MaxProject,0.013,255,255,255,3.232,765
25,MaxProject,0.025,255,255,255,6.464,1530
26,MaxProject,0.004,255,255,255,1.077,255
27,MaxProject,0.004,255,255,255,1.077,255
28,MaxProject,0.013,255,255,255,3.232,765
29,MaxProject,0.004,255,255,255,1.077,255
30,MaxProject,0.013,255,255,255,3.232,765
31,MaxProject,0.008,255,255,255,2.155,510
32,MaxProject,0.004,255,255,255,1.077,255
33,MaxProject,0.008,255,255,255,2.155,510
34,MaxProject,0.008,255,255,255,2.155,510
35,MaxProject,1.344,255,255,255,342.605,81090
36,MaxProject,0.423,255,255,255,107.738,25500
37,MaxProject,42.571,254.975,0,255,10854.554,2569125
38,MaxProject,0.135,255,255,255,34.476,8160
39,MaxProject,0.046,231.818,0,255,10.774,2550
40,MaxProject,0.034,255,255,255,8.619,2040
41,MaxProject,0.030,255,255,255,7.542,1785
42,MaxProject,0.004,255,255,255,1.077,255
43,MaxProject,20.660,254.479,0,255,5257.590,1244400
44,MaxProject,0.114,255,255,255,29.089,6885
45,MaxProject,0.038,255,255,255,9.696,2295
46,MaxProject,0.841,255,255,255,214.398,50745
47,MaxProject,0.004,255,255,255,1.077,255
48,MaxProject,0.013,255,255,255,3.232,765
49,MaxProject,0.008,255,255,255,2.155,510
50,MaxProject,0.372,255,255,255,94.809,22440
51,MaxProject,0.004,255,255,255,1.077,255
52,MaxProject,0.013,255,255,255,3.232,765
53,MaxProject,0.013,255,255,255,3.232,765
