 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,0.034,255.000,255,255,8.619,2040
2,MaxProject,0.004,255.000,255,255,1.077,255
3,MaxProject,0.004,255.000,255,255,1.077,255
4,MaxProject,0.004,255.000,255,255,1.077,255
5,MaxProject,0.004,255.000,255,255,1.077,255
6,MaxProject,0.055,255.000,255,255,14.006,3315
7,MaxProject,0.004,255.000,255,255,1.077,255
8,MaxProject,0.030,255.000,255,255,7.542,1785
9,MaxProject,42.068,243.219,0,255,10231.831,2421735
10,MaxProject,0.004,255.000,255,255,1.077,255
11,MaxProject,0.004,255.000,255,255,1.077,255
12,MaxProject,0.004,255.000,255,255,1.077,255
13,MaxProject,0.101,255.000,255,255,25.857,6120
14,MaxProject,0.004,255.000,255,255,1.077,255
15,MaxProject,0.004,255.000,255,255,1.077,255
16,MaxProject,0.004,255.000,255,255,1.077,255
17,MaxProject,0.004,255.000,255,255,1.077,255
18,MaxProject,0.004,255.000,255,255,1.077,255
19,MaxProject,0.646,255.000,255,255,164.838,39015
20,MaxProject,0.004,255.000,255,255,1.077,255
21,MaxProject,4.774,255.000,255,255,1217.434,288150
22,MaxProject,0.004,255.000,255,255,1.077,255
23,MaxProject,0.004,255.000,255,255,1.077,255
24,MaxProject,0.532,255.000,255,255,135.749,32130
25,MaxProject,0.008,255.000,255,255,2.155,510
26,MaxProject,0.004,255.000,255,255,1.077,255
27,MaxProject,0.004,255.000,255,255,1.077,255
28,MaxProject,0.004,255.000,255,255,1.077,255
29,MaxProject,0.004,255.000,255,255,1.077,255
30,MaxProject,0.004,255.000,255,255,1.077,255
31,MaxProject,0.004,255.000,255,255,1.077,255
32,MaxProject,0.004,255.000,255,255,1.077,255
33,MaxProject,0.004,255.000,255,255,1.077,255
34,MaxProject,0.004,255.000,255,255,1.077,255
35,MaxProject,0.004,255.000,255,255,1.077,255
36,MaxProject,0.004,255.000,255,255,1.077,255
37,MaxProject,0.004,255.000,255,255,1.077,255
38,MaxProject,0.004,255.000,255,255,1.077,255
39,MaxProject,0.004,255.000,255,255,1.077,255
40,MaxProject,0.004,255.000,255,255,1.077,255
41,MaxProject,0.004,255.000,255,255,1.077,255
42,MaxProject,0.004,255.000,255,255,1.077,255
43,MaxProject,0.004,255.000,255,255,1.077,255
44,MaxProject,0.004,255.000,255,255,1.077,255
45,MaxProject,0.004,255.000,255,255,1.077,255
46,MaxProject,0.004,255.000,255,255,1.077,255
47,MaxProject,0.072,255.000,255,255,18.315,4335
48,MaxProject,0.004,255.000,255,255,1.077,255
49,MaxProject,0.008,255.000,255,255,2.155,510
50,MaxProject,0.004,255.000,255,255,1.077,255
51,MaxProject,0.017,255.000,255,255,4.310,1020
52,MaxProject,0.013,255.000,255,255,3.232,765
53,MaxProject,0.021,255.000,255,255,5.387,1275
