 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,0.004,255.000,255,255,1.077,255
2,MaxProject,6.443,253.830,0,255,1635.455,387090
3,MaxProject,0.004,255.000,255,255,1.077,255
4,MaxProject,0.004,255.000,255,255,1.077,255
5,MaxProject,0.220,255.000,255,255,56.024,13260
6,MaxProject,0.017,255.000,255,255,4.310,1020
7,MaxProject,0.004,255.000,255,255,1.077,255
8,MaxProject,1.048,255.000,255,255,267.189,63240
9,MaxProject,0.004,255.000,255,255,1.077,255
10,MaxProject,0.013,255.000,255,255,3.232,765
11,MaxProject,0.004,255.000,255,255,1.077,255
12,MaxProject,0.004,255.000,255,255,1.077,255
13,MaxProject,0.004,255.000,255,255,1.077,255
14,MaxProject,0.004,255.000,255,255,1.077,255
15,MaxProject,0.004,255.000,255,255,1.077,255
16,MaxProject,0.004,255.000,255,255,1.077,255
17,MaxProject,0.030,255.000,255,255,7.542,1785
18,MaxProject,0.008,255.000,255,255,2.155,510
19,MaxProject,0.004,255.000,255,255,1.077,255
20,MaxProject,0.013,255.000,255,255,3.232,765
21,MaxProject,0.008,255.000,255,255,2.155,510
22,MaxProject,0.008,255.000,255,255,2.155,510
23,MaxProject,0.008,255.000,255,255,2.155,510
24,MaxProject,0.004,255.000,255,255,1.077,255
25,MaxProject,0.004,255.000,255,255,1.077,255
26,MaxProject,0.004,255.000,255,255,1.077,255
27,MaxProject,0.004,255.000,255,255,1.077,255
28,MaxProject,0.004,255.000,255,255,1.077,255
29,MaxProject,0.008,255.000,255,255,2.155,510
30,MaxProject,0.004,255.000,255,255,1.077,255
31,MaxProject,0.013,255.000,255,255,3.232,765
32,MaxProject,0.013,255.000,255,255,3.232,765
33,MaxProject,0.004,255.000,255,255,1.077,255
34,MaxProject,0.004,255.000,255,255,1.077,255
35,MaxProject,0.025,255.000,255,255,6.464,1530
36,MaxProject,0.004,255.000,255,255,1.077,255
37,MaxProject,0.004,255.000,255,255,1.077,255
38,MaxProject,0.034,255.000,255,255,8.619,2040
39,MaxProject,0.008,255.000,255,255,2.155,510
40,MaxProject,0.008,255.000,255,255,2.155,510
